ref,client_id,client_nom,type_credit,montant,duree,taux,score,statut,date_depot,agence_id
ENG-20001,CLI-10221,Noureddine Hakim,Mourabaha Immo,767209.34,120,4.56,91,Contentieux,2026-11-22 10:53:33,AG-006
ENG-20002,CLI-10202,Khadija El Amrani,Mourabaha Auto,233044.56,36,4.48,26,En analyse,2025-01-22 10:13:29,AG-010
ENG-20003,CLI-10286,Omar El Amrani,Mourabaha Immo,397640.55,120,6.4,71,Debloque,2025-03-04 16:47:26,AG-003
ENG-20004,CLI-10134,Noureddine El Fassi,Mourabaha Auto,168707.7,36,5.64,72,Valide,2024-02-08 15:29:46,AG-008
ENG-20005,CLI-10134,Noureddine El Fassi,Ijara,678007.59,180,7.24,32,Surveillance,2024-06-20 09:03:10,AG-008
ENG-20006,CLI-10173,Khalid El Fassi,Mourabaha Immo,662478.81,240,6.38,26,Debloque,2026-08-10 09:21:40,AG-002
ENG-20007,CLI-10429,Said Alaoui,Credit Tresorerie,478325.8,12,6.64,68,Valide,2025-03-13 16:48:03,AG-002
ENG-20008,CLI-10267,Hassan Erraji,Mourabaha Immo,572406.87,120,6.84,33,Valide,2024-03-14 15:50:38,AG-010
ENG-20009,CLI-10200,Khalid Guedira,Credit Tresorerie,352794.47,36,5.58,41,En analyse,2025-01-06 16:04:49,AG-009
ENG-20010,CLI-10301,Rachid Mouline,Mourabaha Auto,176825.94,36,6.27,39,Valide,2024-03-01 17:00:37,AG-009
ENG-20011,CLI-10108,Asmaa Sbihi,Mourabaha Immo,511452.96,180,4.98,66,Valide,2026-03-23 08:28:54,AG-001
ENG-20012,CLI-10242,Said Guedira,Mourabaha Auto,101373.29,48,5.98,82,Debloque,2023-07-21 12:04:56,AG-010
ENG-20013,CLI-10347,Youssef Benjelloun,Mourabaha Immo,714461.93,240,7.91,37,Debloque,2025-10-18 15:55:33,AG-006
ENG-20014,CLI-10166,Zineb Zniber,Ijara,305169.94,180,8.73,20,Debloque,2023-02-20 16:38:59,AG-008
ENG-20015,CLI-10484,Noureddine Zniber,Ijara,335083.45,180,8.97,64,Debloque,2025-01-23 16:01:04,AG-003
ENG-20016,CLI-10446,Amina Mouline,Ijara,191663.68,240,4.49,64,Valide,2025-08-16 12:54:34,AG-010
